.cc	.h
1	1
1	1
40	26
34	24
2	1
1	1
1	1
23	9
78	44
9	1
1	1
1	1
42	18
42	18
1	1
30	22
1	1
3	1
1	1
1	1
1	1
1	2
96	67
1	1
62	45
31	19
31	19
7	1
26	19
1	1
6	1
29	8
2	1
11	8
1	1
1	1
37	17
21	8
55	17
2	2
2	2
2	1
2	1
2	1
2	1
2	1
2	1
4	2
1	1
39	24
22	6
11	1
1	1
1	1
5	1
27	17
42	23
6	1
5	1
31	13
17	14
2	4
33	24
45	29
2	1
1	1
1	1
1	1
43	27
3	2
32	22
1	1
1	2
3	3
98	43
2	1
1	1
2	1
50	29
42	26
1	1
1	1
2	1
25	12
24	10
5	4
54	38
7	1
2	1
76	58
2	1
2	2
2	1
4	1
1	1
1	1
8	9
2	1
7	9
7	9
22	13
88	61
1	1
40	39
2	2
1	1
1	1
33	30
2	1
2	1
5	4
48	36
1	1
1	1
1	1
92	58
28	13
1	1
1	1
1	2
18	19
1	1
96	64
1	1
2	1
94	55
1	1
1	1
1	1
1	1
5	2
1	1
3	3
1	1
2	1
7	1
54	47
3	1
1	2
54	36
1	1
2	1
2	1
2	1
2	1
2	1
3	2
2	1
53	36
53	36
10	2
1	1
7	3
1	1
1	1
2	1
1	1
50	28
1	1
3	1
14	10
1	1
1	2
107	61
2	1
1	2
1	2
29	21
69	49
1	1
20	22
55	36
1	2
1	1
1	1
3	2
5	2
58	38
2	1
1	1
1	1
1	1
1	2
22	16
2	2
2	2
30	14
6	5
1	1
46	19
3	1
5	1
3	1
1	1
1	1
2	2
1	1
53	39
2	1
1	2
1	1
2	1
3	2
7	7
2	1
27	10
2	2
2	2
3	2
1	2
1	1
19	9
1	2
45	33
1	1
10	7
32	15
1	2
1	1
1	2
22	18
1	1
1	1
59	30
1	1
4	4
3	5
1	1
56	37
1	1
1	1
1	1
3	2
3	5
4	1
6	7
1	1
53	41
4	1
1	1
2	2
2	1
1	1
4	2
1	1
3	2
1	1
3	1
3	1
1	1
1	1
1	1
1	1
2	1
51	40
1	1
1	1
2	2
1	2
1	1
124	128
1	1
3	1
5	1
2	1
1	2
1	1
2	1
1	1
1	1
2	2
1	1
1	1
5	5
2	2
4	2
2	1
132	96
1	1
2	1
1	1
4	2
1	6
3	1
3	2
3	2
2	2
1	1
2	1
3	7
1	1
1	1
1	1
2	1
2	1
2	2
3	2
3	1
6	6
4	6
143	130
2	1
2	1
3	1
5	4
2	1
1	1
2	1
5	5
1	1
8	8
4	3
4	4
3	1
5	3
2	1
2	2
1	1
2	1
2	2
1	2
2	1
2	28
2	4
5	7
1	1
8	2
6	3
2	2
1	2
1	4
1	1
2	2
1	1
2	1
1	1
2	1
468	292
2	1
5	1
4	6
4	1
559	457
1	1
4	1
1	1
2	2
1	1
1	10
1	2
2	1
1	1
1	1
29	6
1	2
2	1
4	1
2	1
1	1
2	1
2	1
1	1
1	1
2	1
1	1
320	314
9	1
2	1
1	3
10	1
3	1
1	3
9	3
77	30
1	1
1	1
1	1
1	2
1	1
1	1
1	1
3	3
6	2
16	1
216	163
18	12
1	2
2	1
1	1
133	85
2	2
2	1
2	3
27	8
293	194
1	1
1	1
2	1
28	14
2	2
2	3
1	2
4	1
2	4
15	6
1	2
1	2
1	1
1	1
1	1
2	2
2	1
2	3
21	3
1	5
2	3
23	14
1	1
1	1
1	1
4	3
1	1
2	5
2	1
1	1
1	1
1	1
8	4
3	3
1	1
1	1
2	2
1	1
1	1
18	7
1	1
5	8
16	1
1	1
20	1
213	124
1	1
8	1
1	1
1	1
3	5
7	7
11	7
16	4
6	6
6	3
13	4
1	2
1	1
1	1
1	2
223	135
18	3
8	3
1	1
1	1
1	1
2	1
1	2
11	5
6	5
11	5
11	5
2	1
27	10
2	3
23	20
1	1
2	1
5	9
1	1
3	1
1	1
55	46
1	1
3	3
1	1
1	1
2	2
1	1
1	1
1	1
1	1
12	1
12	2
101	59
1	2
27	2
1	1
8	1
2	1
2	1
2	3
3	4
2	3
7	1
16	6
30	33
1	1
1	1
1	1
1	2
3	1
48	29
3	1
93	45
1	1
